Trade number,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
24,多頭進場,2022-11-14 10:35,ENTRY|RD=-0.2068|VR=1.7038|S1=0.0353|S3=-0.0673|E5=0.1821|E15=0.2733|T5=0.1463|T15=0.3403|RV10=0.1117|MSO=90|MTC=180|SID=4|SCT=1|HP=0,27.5,1,27.5,0.05,0.18,0.05,0.18,0,0.00,0.25,0.00
25,多頭出場,2022-11-29 10:10,EXIT_TIME|XRD=-0.2345|BH=2,28.55,1,28.6,-0.05,-0.17,0,0.00,-0.1,-0.35,0.2,0.00
25,多頭進場,2022-11-29 10:00,ENTRY|RD=-0.2292|VR=1.7711|S1=0.0095|S3=-0.0096|E5=0.1751|E15=0.3947|T5=0.1652|T15=0.4034|RV10=0.102|MSO=55|MTC=215|SID=3|SCT=1|HP=1,28.6,1,28.6,-0.05,-0.17,0,0.00,-0.1,-0.35,0.2,0.00
26,多頭出場,2022-11-29 12:25,EXIT_TIME|XRD=-0.2246|BH=2,28.8,1,28.75,0.05,0.17,0.05,0.17,0,0.00,0.25,0.00
26,多頭進場,2022-11-29 12:15,ENTRY|RD=-0.3042|VR=1.7587|S1=-0.0247|S3=0.0001|E5=0.0435|E15=0.0435|T5=0.0677|T15=0.0433|RV10=0.0828|MSO=190|MTC=80|SID=4|SCT=2|HP=0,28.75,1,28.75,0.05,0.17,0.05,0.17,0,0.00,0.25,0.00
27,多頭出場,2022-11-29 13:05,EXIT_TIME|XRD=-0.3362|BH=2,28.8,1,28.75,0.05,0.17,0.05,0.17,0,0.00,0.3,0.00
27,多頭進場,2022-11-29 12:55,ENTRY|RD=-0.2753|VR=1.77|S1=-0.0823|S3=-0.0826|E5=-0.0435|E15=0|T5=0.0376|T15=0.0812|RV10=0.0437|MSO=230|MTC=40|SID=5|SCT=3|HP=1,28.75,1,28.75,0.05,0.17,0.05,0.17,0,0.00,0.3,0.00
28,多頭出場,2022-12-20 12:15,EXIT_TIME|XRD=-0.1898|BH=2,27.6,1,27.6,0,0.00,0.05,0.18,-0.05,-0.18,0.3,0.00
28,多頭進場,2022-12-20 12:05,ENTRY|RD=-0.2323|VR=1.6157|S1=-0.1147|S3=-0.1595|E5=-0.271|E15=-0.406|T5=-0.1546|T15=-0.2444|RV10=0.1135|MSO=180|MTC=90|SID=4|SCT=1|HP=0,27.6,1,27.6,0,0.00,0.05,0.18,-0.05,-0.18,0.3,0.00
29,多頭出場,2022-12-21 12:50,EXIT_TIME|XRD=-0.31|BH=2,27.6,1,27.6,0,0.00,0.05,0.18,0,0.00,0.3,0.00
29,多頭進場,2022-12-21 12:40,ENTRY|RD=-0.2251|VR=7.9714|S1=-0.0267|S3=-0.0097|E5=0.0453|E15=-0.1357|T5=0.072|T15=-0.1257|RV10=0.0819|MSO=215|MTC=55|SID=4|SCT=1|HP=0,27.6,1,27.6,0,0.00,0.05,0.18,0,0.00,0.3,0.00
30,多頭出場,2022-12-21 13:05,EXIT_TIME|XRD=-0.1857|BH=2,27.65,1,27.6,0.05,0.18,0.05,0.18,0,0.00,0.35,0.00
30,多頭進場,2022-12-21 12:55,ENTRY|RD=-0.2838|VR=4.1621|S1=0.0263|S3=-0.0586|E5=0.1359|E15=0.0906|T5=0.1092|T15=0.1491|RV10=0.0986|MSO=230|MTC=40|SID=5|SCT=2|HP=1,27.6,1,27.6,0.05,0.18,0.05,0.18,0,0.00,0.35,0.00
31,多頭出場,2023-01-13 11:55,EXIT_TIME|XRD=-0.2021|BH=2,29.25,1,29.25,0,0.00,0.05,0.17,0,0.00,0.35,0.00
31,多頭進場,2023-01-13 11:45,ENTRY|RD=-0.223|VR=2.1465|S1=-0.0944|S3=-0.0488|E5=-0.128|E15=-0.1706|T5=-0.0327|T15=-0.1212|RV10=0.0512|MSO=160|MTC=110|SID=4|SCT=1|HP=0,29.25,1,29.25,0,0.00,0.05,0.17,0,0.00,0.35,0.00
32,多頭出場,2023-01-13 12:10,EXIT_TIME|XRD=-0.2028|BH=2,29.3,1,29.3,0,0.00,0,0.00,0,0.00,0.35,0.00
32,多頭進場,2023-01-13 12:00,ENTRY|RD=-0.2173|VR=1.9269|S1=-0.0152|S3=0.0057|E5=0.0854|E15=0.1282|T5=0.1006|T15=0.1221|RV10=0.0555|MSO=175|MTC=95|SID=4|SCT=2|HP=0,29.3,1,29.3,0,0.00,0,0.00,0,0.00,0.35,0.00
33,多頭出場,2023-01-13 13:10,EXIT_TIME|XRD=-0.1749|BH=2,29.3,1,29.3,0,0.00,0.05,0.17,0,0.00,0.35,0.00
33,多頭進場,2023-01-13 13:00,ENTRY|RD=-0.2141|VR=1.687|S1=-0.0412|S3=-0.0792|E5=0.0427|E15=0.0427|T5=0.0841|T15=0.1225|RV10=0.0469|MSO=235|MTC=35|SID=5|SCT=3|HP=1,29.3,1,29.3,0,0.00,0.05,0.17,0,0.00,0.35,0.00
