version,trade_number,entry_datetime,exit_datetime,entry_date,entry_year,entry_month,entry_time_hhmm,exit_time_hhmm,entry_price,exit_price,base_pnl_twd,pnl_cost_001,pnl_cost_002,pnl_cost_0035,holding_minutes,holding_bucket,exit_reason,mfe_twd,mae_twd,mode,entry_relative_deviation,volume_ratio_at_entry,deviation_slope_1bar,deviation_slope_3bar,etf_return_5m,etf_return_15m,tw50_return_5m,tw50_return_15m,realized_vol_10bar,minutes_since_open,minutes_to_close,session_id,signal_count_today,t5_filter_ok,b1_filter_ok,b2_filter_ok,b3_filter_ok,exit_relative_deviation,bars_held,session_block,data_split,is_0945_1000_bucket,is_exact_0945,is_exact_1000,entry_signal,exit_signal,realized_vol_bucket
v2-B3_final_candidate,23,2023-03-20 12:10,2023-03-20 12:15,2023-03-20,2023,2023-03,12:10,12:15,29.5,29.5,0,-0.01,-0.02,-0.035,5,<=5m,EXIT_REVERSION,0,0,3,-0.2078,1.9048,-0.1969,-0.0085,-0.0847,-0.0847,0.1132,-0.076,0.071,185,85,4,1,1,1,1,1,-0.0384,1,盤中_1000_1245,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2078|VR=1.9048|S1=-0.1969|S3=-0.0085|E5=-0.0847|E15=-0.0847|T5=0.1132|T15=-0.076|RV10=0.071|MSO=185|MTC=85|SID=4|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_REVERSION|MODE=3|XRD=-0.0384|BH=1,Mid_vol
v2-B3_final_candidate,24,2023-03-20 12:45,2023-03-20 12:55,2023-03-20,2023,2023-03,12:45,12:55,29.5,29.5,0,-0.01,-0.02,-0.035,10,5-10m,EXIT_TIME,0,-0.05,3,-0.2216,1.6563,-0.1009,-0.1974,-0.0424,-0.127,0.0591,0.0713,0.06,220,50,4,2,1,1,1,1,-0.19,2,午盤尾段_1245_1300,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2216|VR=1.6563|S1=-0.1009|S3=-0.1974|E5=-0.0424|E15=-0.127|T5=0.0591|T15=0.0713|RV10=0.06|MSO=220|MTC=50|SID=4|SCT=2|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.19|BH=2,Low_vol
v2-B3_final_candidate,25,2023-05-17 12:55,2023-05-17 13:05,2023-05-17,2023,2023-05,12:55,13:05,30.15,30.15,0,-0.01,-0.02,-0.035,10,5-10m,EXIT_TIME,0.05,0,3,-0.2367,3.481,-0.0994,-0.0208,0.083,0.083,0.1808,0.1033,0.0753,230,40,5,1,1,1,1,1,-0.1519,2,午盤尾段_1245_1300,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2367|VR=3.481|S1=-0.0994|S3=-0.0208|E5=0.083|E15=0.083|T5=0.1808|T15=0.1033|RV10=0.0753|MSO=230|MTC=40|SID=5|SCT=1|HP=1|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.1519|BH=2,Mid_vol
v2-B3_final_candidate,26,2023-05-24 09:30,2023-05-24 09:35,2023-05-24,2023,2023-05,09:30,09:35,30.4,30.4,0,-0.01,-0.02,-0.035,5,<=5m,EXIT_REVERSION,0,-0.05,3,-0.2072,1.5772,-0.0961,-0.0999,0.0412,0,0.1372,0.0999,0.1647,25,245,2,1,1,1,1,1,-0.011,1,早盤_0905_0945,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2072|VR=1.5772|S1=-0.0961|S3=-0.0999|E5=0.0412|E15=0|T5=0.1372|T15=0.0999|RV10=0.1647|MSO=25|MTC=245|SID=2|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_REVERSION|MODE=3|XRD=-0.011|BH=1,High_vol
v2-B3_final_candidate,27,2023-06-21 13:00,2023-06-21 13:10,2023-06-21,2023,2023-06,13:00,13:10,32.6,32.75,0.15,0.14,0.13,0.115,10,5-10m,EXIT_TIME,0.15,0,3,-0.2123,3.2647,-0.1096,-0.2116,0,0,0.1095,0.2116,0.0479,235,35,5,1,1,1,1,1,-0.1119,2,午盤尾段_1245_1300,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2123|VR=3.2647|S1=-0.1096|S3=-0.2116|E5=0|E15=0|T5=0.1095|T15=0.2116|RV10=0.0479|MSO=235|MTC=35|SID=5|SCT=1|HP=1|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.1119|BH=2,Low_vol
v2-B3_final_candidate,28,2023-07-21 09:25,2023-07-21 09:35,2023-07-21,2023,2023-07,09:25,09:35,31.75,31.8,0.05,0.04,0.03,0.015,10,5-10m,EXIT_TIME,0.05,-0.05,3,-0.2124,1.69,-0.1083,-0.1179,0.0394,0.1974,0.1474,0.315,0.6394,20,250,2,1,1,1,1,1,-0.1164,2,早盤_0905_0945,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2124|VR=1.69|S1=-0.1083|S3=-0.1179|E5=0.0394|E15=0.1974|T5=0.1474|T15=0.315|RV10=0.6394|MSO=20|MTC=250|SID=2|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.1164|BH=2,High_vol
v2-B3_final_candidate,29,2023-07-21 12:05,2023-07-21 12:15,2023-07-21,2023,2023-07,12:05,12:15,31.8,31.8,0,-0.01,-0.02,-0.035,10,5-10m,EXIT_TIME,0,-0.05,3,-0.274,1.5624,-0.0993,-0.0302,0,-0.1179,0.0988,-0.0876,0.0533,180,90,4,2,1,1,1,1,-0.2983,2,盤中_1000_1245,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.274|VR=1.5624|S1=-0.0993|S3=-0.0302|E5=0|E15=-0.1179|T5=0.0988|T15=-0.0876|RV10=0.0533|MSO=180|MTC=90|SID=4|SCT=2|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.2983|BH=2,Low_vol
v2-B3_final_candidate,30,2023-08-01 09:15,2023-08-01 09:20,2023-08-01,2023,2023-08,09:15,09:20,32.35,32.35,0,-0.01,-0.02,-0.035,5,<=5m,EXIT_REVERSION,0,0,3,-0.2179,1.7035,-0.014,-0.4051,0,0.6223,0.014,0.8333,0.1651,10,260,2,1,1,1,1,1,-0.0479,1,早盤_0905_0945,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2179|VR=1.7035|S1=-0.014|S3=-0.4051|E5=0|E15=0.6223|T5=0.014|T15=0.8333|RV10=0.1651|MSO=10|MTC=260|SID=2|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_REVERSION|MODE=3|XRD=-0.0479|BH=1,High_vol
v2-B3_final_candidate,31,2023-08-23 09:15,2023-08-23 09:20,2023-08-23,2023,2023-08,09:15,09:20,31.15,31.2,0.05,0.04,0.03,0.015,5,<=5m,EXIT_REVERSION,0.05,0,3,-0.2166,6.2138,-0.0498,-0.2362,0.2817,0.4839,0.3309,0.5445,0.0949,10,260,2,1,1,1,1,1,-0.0174,1,早盤_0905_0945,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2166|VR=6.2138|S1=-0.0498|S3=-0.2362|E5=0.2817|E15=0.4839|T5=0.3309|T15=0.5445|RV10=0.0949|MSO=10|MTC=260|SID=2|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_REVERSION|MODE=3|XRD=-0.0174|BH=1,Mid_vol
v2-B3_final_candidate,32,2023-08-29 09:15,2023-08-29 09:25,2023-08-29,2023,2023-08,09:15,09:25,31.35,31.35,0,-0.01,-0.02,-0.035,10,5-10m,EXIT_TIME,0,-0.05,3,-0.2036,3.1351,-0.1314,-0.2865,-0.0797,-0.0399,0.0518,0.1122,0.0881,10,260,2,1,1,1,1,1,-0.2124,2,早盤_0905_0945,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2036|VR=3.1351|S1=-0.1314|S3=-0.2865|E5=-0.0797|E15=-0.0399|T5=0.0518|T15=0.1122|RV10=0.0881|MSO=10|MTC=260|SID=2|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.2124|BH=2,Mid_vol
v2-B3_final_candidate,33,2023-09-11 11:55,2023-09-11 12:05,2023-09-11,2023,2023-09,11:55,12:05,30.85,30.9,0.05,0.04,0.03,0.015,10,5-10m,EXIT_TIME,0.05,0,3,-0.2692,3.2165,-0.0934,-0.0923,-0.0809,-0.1213,0.0131,-0.0284,0.0382,170,100,4,1,1,1,1,1,-0.1908,2,盤中_1000_1245,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2692|VR=3.2165|S1=-0.0934|S3=-0.0923|E5=-0.0809|E15=-0.1213|T5=0.0131|T15=-0.0284|RV10=0.0382|MSO=170|MTC=100|SID=4|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.1908|BH=2,Low_vol
v2-B3_final_candidate,34,2023-09-27 12:40,2023-09-27 12:50,2023-09-27,2023,2023-09,12:40,12:50,30.5,30.55,0.05,0.04,0.03,0.015,10,5-10m,EXIT_TIME,0.05,0,3,-0.271,2.6977,-0.1337,-0.1424,0.041,0.041,0.1742,0.1829,0.0259,215,55,4,1,1,1,1,1,-0.2942,2,盤中_1000_1245,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.271|VR=2.6977|S1=-0.1337|S3=-0.1424|E5=0.041|E15=0.041|T5=0.1742|T15=0.1829|RV10=0.0259|MSO=215|MTC=55|SID=4|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.2942|BH=2,Low_vol
v2-B3_final_candidate,35,2023-10-16 12:25,2023-10-16 12:35,2023-10-16,2023,2023-10,12:25,12:35,31.45,31.5,0.05,0.04,0.03,0.015,10,5-10m,EXIT_TIME,0.05,0,3,-0.2043,1.5756,-0.0491,-0.1507,0,-0.0794,0.0491,0.0713,0.0538,200,70,4,1,1,1,1,1,-0.104,2,盤中_1000_1245,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2043|VR=1.5756|S1=-0.0491|S3=-0.1507|E5=0|E15=-0.0794|T5=0.0491|T15=0.0713|RV10=0.0538|MSO=200|MTC=70|SID=4|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.104|BH=2,Low_vol
v2-B3_final_candidate,36,2023-10-23 12:35,2023-10-23 12:45,2023-10-23,2023,2023-10,12:35,12:45,30.95,30.95,0,-0.01,-0.02,-0.035,10,5-10m,EXIT_TIME,0,0,3,-0.2035,1.9863,-0.0813,-0.0707,-0.0404,-0.0807,0.0414,-0.0096,0.0352,210,60,4,1,1,1,1,1,-0.304,2,盤中_1000_1245,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2035|VR=1.9863|S1=-0.0813|S3=-0.0707|E5=-0.0404|E15=-0.0807|T5=0.0414|T15=-0.0096|RV10=0.0352|MSO=210|MTC=60|SID=4|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.304|BH=2,Low_vol
v2-B3_final_candidate,37,2023-10-24 09:10,2023-10-24 09:20,2023-10-24,2023,2023-10,09:10,09:20,30.95,30.9,-0.05,-0.06,-0.07,-0.085,10,5-10m,EXIT_REVERSION,0,-0.05,3,-0.2287,2.0183,-0.2287,-0.1768,-0.0404,0,0.1882,0.2373,0.0396,5,265,2,1,1,1,1,1,-0.077,2,早盤_0905_0945,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2287|VR=2.0183|S1=-0.2287|S3=-0.1768|E5=-0.0404|E15=0|T5=0.1882|T15=0.2373|RV10=0.0396|MSO=5|MTC=265|SID=2|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_REVERSION|MODE=3|XRD=-0.077|BH=2,Low_vol
v2-B3_final_candidate,38,2024-01-08 09:35,2024-01-08 09:45,2024-01-08,2024,2024-01,09:35,09:45,33.4,33.35,-0.05,-0.06,-0.07,-0.085,10,5-10m,EXIT_TIME,0,-0.05,3,-0.2133,3.0305,-0.0442,-0.1079,0.1124,0.1124,0.1562,0.2198,0.2231,30,240,2,1,1,1,1,1,-0.1659,2,早盤_0905_0945,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2133|VR=3.0305|S1=-0.0442|S3=-0.1079|E5=0.1124|E15=0.1124|T5=0.1562|T15=0.2198|RV10=0.2231|MSO=30|MTC=240|SID=2|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.1659|BH=2,High_vol
