Trade number,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
33,多頭出場,2023-01-13 13:10,Close entry(s) order Long 0050,29.3,1,29.3,0,0.00,0.05,0.17,0,0.00,0.35,0.00
33,多頭進場,2023-01-13 13:00,Long 0050,29.3,1,29.3,0,0.00,0.05,0.17,0,0.00,0.35,0.00
34,多頭出場,2023-01-30 12:55,Close entry(s) order Long 0050,30.05,1,30.1,-0.05,-0.17,0,0.00,-0.05,-0.17,0.3,0.00
34,多頭進場,2023-01-30 12:45,Long 0050,30.1,1,30.1,-0.05,-0.17,0,0.00,-0.05,-0.17,0.3,0.00
35,多頭出場,2023-02-06 09:30,Close entry(s) order Long 0050,29.9,1,29.9,0,0.00,0,0.00,-0.05,-0.17,0.3,0.00
35,多頭進場,2023-02-06 09:20,Long 0050,29.9,1,29.9,0,0.00,0,0.00,-0.05,-0.17,0.3,0.00
36,多頭出場,2023-02-06 10:15,Close entry(s) order Long 0050,29.9,1,29.9,0,0.00,0,0.00,-0.05,-0.17,0.3,0.00
36,多頭進場,2023-02-06 10:05,Long 0050,29.9,1,29.9,0,0.00,0,0.00,-0.05,-0.17,0.3,0.00
37,多頭出場,2023-02-10 09:25,Close entry(s) order Long 0050,30.25,1,30.2,0.05,0.17,0.05,0.17,0,0.00,0.35,0.00
37,多頭進場,2023-02-10 09:20,Long 0050,30.2,1,30.2,0.05,0.17,0.05,0.17,0,0.00,0.35,0.00
38,多頭出場,2023-02-10 12:30,Close entry(s) order Long 0050,30.25,1,30.25,0,0.00,0,0.00,0,0.00,0.35,0.00
38,多頭進場,2023-02-10 12:20,Long 0050,30.25,1,30.25,0,0.00,0,0.00,0,0.00,0.35,0.00
39,多頭出場,2023-02-10 12:45,Close entry(s) order Long 0050,30.25,1,30.25,0,0.00,0,0.00,0,0.00,0.35,0.00
39,多頭進場,2023-02-10 12:35,Long 0050,30.25,1,30.25,0,0.00,0,0.00,0,0.00,0.35,0.00
40,多頭出場,2023-02-14 11:45,Close entry(s) order Long 0050,30.45,1,30.45,0,0.00,0,0.00,0,0.00,0.35,0.00
40,多頭進場,2023-02-14 11:40,Long 0050,30.45,1,30.45,0,0.00,0,0.00,0,0.00,0.35,0.00
41,多頭出場,2023-02-14 12:05,Close entry(s) order Long 0050,30.45,1,30.45,0,0.00,0,0.00,0,0.00,0.35,0.00
41,多頭進場,2023-02-14 12:00,Long 0050,30.45,1,30.45,0,0.00,0,0.00,0,0.00,0.35,0.00
